,pos,word_en,word_sp,positive,new_negetive ,objective,index,synset,meaning,negative
3210,a,enduring,,0.375,0.0,0.625,0,1754873,"unceasing; ""an abiding belief""; ""imperishable truths"" ",0.0
3212,a,energetic,,0.375,0.0,0.625,0,873603,"possessing or exerting or displaying energy; ""an energetic fund raiser for the college""; ""an energetic group of hikers""; ""it caused an energetic chemical reaction"" ",0.0
3213,a,enervated,,0.0,0.5,0.5,0,2324944,lacking strength or vigor ,-0.5
3214,a,enervating,,0.0,0.375,0.625,0,1358096,causing debilitation ,-0.375
3215,a,enfeebling,,0.0,0.375,0.625,0,1358096,causing debilitation ,-0.375
3216,a,enforceable,,0.625,0.0,0.375,0,557221,capable of being enforced ,0.0
3217,a,engaged,,0.125,0.0,0.875,0,293611,"having ones attention or mind or energy engaged; ""she keeps herself fully occupied with volunteer activities""; ""deeply engaged in conversation"" ",0.0
3219,a,engaging,,0.875,0.0,0.125,0,167671,"attracting or delighting; ""an engaging frankness""; ""a piquant face with large appealing eyes"" ",0.0
3220,a,engorged,,0.0,0.25,0.75,0,1084486,overfull as with blood ,-0.25
3221,a,engrossing,,0.5,0.0,0.5,0,1344171,"capable of arousing and holding the attention; ""a fascinating story"" ",0.0
3222,a,enlarged,,0.0,0.5,0.5,3,881177,"enlarged to an abnormal degree; ""thick lenses exaggerated the size of her eyes"" ",-0.5
3223,a,enlightened,,0.125,0.0,0.875,1,1307375,"characterized by full comprehension of the problem involved; ""an educated guess""; ""an enlightened electorate"" ",0.0
3225,a,enlightening,,0.125,0.0,0.875,0,1325777,"tending to increase knowledge or dissipate ignorance; ""an enlightening glimpse of government in action""; ""an illuminating lecture"" ",0.0
3227,a,enlivened,,0.375,0.0,0.625,1,118844,"made lively or spirited; ""a meal enlivened by the music""; ""a spirited debate"" ",0.0
3229,a,enmeshed,,0.125,0.0,0.875,0,255453,"caught as if in a mesh; ""enmeshed in financial difficulties"" ",0.0
3230,a,ennobling,,0.625,0.0,0.375,1,1323207,"tending to exalt; ""an exalting eulogy""; ""ennobling thoughts"" ",0.0
3232,a,enough,,0.125,0.0,0.875,0,2336109,"sufficient for the purpose; ""an adequate income""; ""the food was adequate""; ""a decent wage""; ""enough food""; ""food enough"" ",0.0
3233,a,ensorcelled,,0.125,0.0,0.875,0,865765,under a spell ,0.0
3234,a,entangled,,0.0,0.125,0.875,2,1065321,involved in difficulties ,-0.125
3235,a,entertained,,0.0,0.125,0.875,0,1805355,"pleasantly occupied; ""We are not amused"" -Queen Victoria ",-0.125
3236,a,enthralled,,0.0,0.75,0.25,0,865620,filled with wonder and delight ,-0.75
3237,a,enthralling,,0.5,0.0,0.5,0,166753,"capturing interest as if by a spell; ""bewitching smile""; ""Roosevelt was a captivating speaker""; ""enchanting music""; ""an enthralling book""; ""antique papers of entrancing design""; ""a fascinating woman"" ",0.0
3238,a,enthusiastic,,0.625,0.0,0.375,0,885695,"having or showing great excitement and interest; ""enthusiastic crowds filled the streets""; ""an enthusiastic response""; ""was enthusiastic about taking ballet lessons"" ",0.0
3239,a,enticing,,0.5,0.0,0.5,0,2097480,"highly attractive and able to arouse hope or desire; ""an alluring prospect""; ""her alluring smile""; ""the voice was low and beguiling""; ""difficult to say no to an enticing advertisement""; ""a tempting invitation"" ",0.0
3240,a,entire,,0.5,0.0,0.5,1,515870,"constituting the undiminished entirety; lacking nothing essential especially not damaged; ""a local motion keepeth bodies integral""- Bacon; ""was able to keep the collection entire during his lifetime""; ""fought to keep the union intact"" ",0.0
3241,a,entranced,,0.0,0.75,0.25,0,865620,filled with wonder and delight ,-0.75
3242,a,entrancing,,0.5,0.0,0.5,0,166753,"capturing interest as if by a spell; ""bewitching smile""; ""Roosevelt was a captivating speaker""; ""enchanting music""; ""an enthralling book""; ""antique papers of entrancing design""; ""a fascinating woman"" ",0.0
3243,a,enured,,0.25,0.0,0.75,0,2447779,"made tough by habitual exposure; ""hardened fishermen""; ""a peasant, dark, lean-faced, wind-inured""- Robert Lynd; ""our successors...may be graver, more inured and equable men""- V.S.Pritchett ",0.0
3244,a,environmental,,0.0,0.125,0.875,1,2943151,"concerned with the ecological effects of altering the environment; ""environmental pollution"" ",-0.125
3245,a,enzootic,,0.0,0.125,0.875,0,1428122,of a disease that is constantly present in an animal community but only occurs in a small number of cases ,-0.125
3246,a,eolithic,,0.0,0.25,0.75,0,3089804,of or relating to the earliest period of the Stone Age (characterized by the use of eoliths) ,-0.25
3247,a,eonian,,0.25,0.0,0.75,1,1755024,"continuing forever or indefinitely; ""the ageless themes of love and revenge""; ""eternal truths""; ""life everlasting""; ""hell's perpetual fires""; ""the unending bliss of heaven"" ",0.0
3248,a,epic,,0.75,0.0,0.25,0,1386010,"very imposing or impressive; surpassing the ordinary (especially in size or scale); ""an epic voyage""; ""of heroic proportions""; ""heroic sculpture"" ",0.0
3250,a,epical,,0.0,0.25,0.75,0,3015589,"constituting or having to do with or suggestive of a literary epic; ""epic tradition"" ",-0.25
3251,a,epicene,,0.5,0.0,0.5,0,1478907,having an ambiguous sexual identity ,0.0
3252,a,epicurean,epicúreo,0.125,0.0,0.875,0,3001153,"of Epicurus or epicureanism; ""Epicurean philosophy"" ",0.0
3255,a,epidemic,,0.25,0.0,0.75,0,1426375,"(especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously; ""an epidemic outbreak of influenza"" ",0.0
3256,a,epigrammatic,,0.375,0.0,0.625,0,546951,"terse and witty and like a maxim; ""much given to apothegmatic instruction"" ",0.0
3257,a,epileptic,,0.0,0.125,0.875,0,2945660,"of or relating to or characteristic of epilepsy; ""epileptic seizure"" ",-0.125
3258,a,epilithic,,0.0,0.125,0.875,0,2720965,"growing on stone; ""epilithic mosses"" ",-0.125
3259,a,epochal,,0.5,0.0,0.5,0,2162179,"highly significant or important especially bringing about or marking the beginning of a new development or era; ""epochal decisions made by Roosevelt and Churchill""; ""an epoch-making discovery"" ",0.0
3260,a,epoch-making,,0.5,0.0,0.5,0,2162179,"highly significant or important especially bringing about or marking the beginning of a new development or era; ""epochal decisions made by Roosevelt and Churchill""; ""an epoch-making discovery"" ",0.0
3261,a,equable,,0.5,0.0,0.5,1,1134486,"not easily irritated; ""an equable temper""; ""not everyone shared his placid temperament""; ""remained placid despite the repeated delays"" ",0.0
3263,a,equal,,0.125,0.0,0.875,0,889831,"having the same quantity, value, or measure as another; ""on equal terms""; ""all men are equal before the law"" ",0.0
3264,a,equatorial,,0.0,0.125,0.875,2,2443623,"of or existing at or near the geographic equator; ""equatorial Africa"" ",-0.125
3265,a,equine,,0.125,0.0,0.875,0,2721547,resembling a horse ,0.0
3266,a,equipoised,,0.0,0.25,0.75,0,2029954,lacking lateral dominance; being neither right-handed nor left-handed ,-0.25
3267,a,equipotent,,0.25,0.0,0.75,0,1824563,having equal strength or efficacy ,0.0
3268,a,equipped,,0.25,0.0,0.75,0,1094049,"provided or fitted out with what is necessary or useful or appropriate; ""a well equipped playground""; ""a ship equipped with every mechanical aid to navigation"" ",0.0
3270,a,equiprobable,,0.0,0.25,0.75,0,1413501,equally probable ,-0.25
3271,a,equipt,,0.25,0.0,0.75,0,1094049,"provided or fitted out with what is necessary or useful or appropriate; ""a well equipped playground""; ""a ship equipped with every mechanical aid to navigation"" ",0.0
3272,a,equitable,,0.5,0.0,0.5,0,958151," fair to all parties as dictated by reason and conscience; ""equitable treatment of all citizens""; ""an equitable distribution of gifts among the children"" ",0.0
3273,a,equivalent,,0.125,0.0,0.875,0,890351,"being essentially equal to something; ""it was as good as gold""; ""a wish that was equivalent to a command""; ""his statement was tantamount to an admission of guilt"" ",0.0
3274,a,equivocal,,0.0,0.25,0.75,1,1917370,"open to question; ""aliens of equivocal loyalty""; ""his conscience reproached him with the equivocal character of the union into which he had forced his son""-Anna Jameson ",-0.25
3275,a,erasable,,0.625,0.0,0.375,0,897759,"capable of being effaced; ""the fire's worst scars were effaceable by a comprehensive program of reforestation""; ""a signal too loud to be erasable in a single pass through the erase head"" ",0.0
3276,a,erect,,0.0,0.25,0.75,1,1151592,of sexual organs; stiff and rigid ,-0.25
3277,a,erectile,,0.375,0.0,0.625,0,1236443,"capable of being raised to an upright position; ""erectile feathers"" ",0.0
3278,a,eristic,,0.375,0.0,0.625,0,604221,given to disputation for its own sake and often employing specious arguments ,0.0
3279,a,eristical,,0.375,0.0,0.625,0,604221,given to disputation for its own sake and often employing specious arguments ,0.0
3280,a,erogenous,,0.5,0.0,0.5,0,2104190,sensitive to sexual stimulation ,0.0
3281,a,erose,,0.125,0.0,0.875,0,2246903,having an irregularly notched or toothed margin as though gnawed ,0.0
3282,a,erosive,,0.5,0.0,0.5,1,587376,"of a substance, especially a strong acid; capable of destroying or eating away by chemical action ",0.0
3284,a,erotic,,0.625,0.0,0.375,0,2132080,giving sexual pleasure; sexually arousing ,0.0
3285,a,errant,,0.0,0.625,0.375,1,600395,"uncontrolled motion that is irregular or unpredictable; ""an errant breeze"" ",-0.625
3286,a,erratic,,0.0,0.25,0.75,1,2127509,"having no fixed course; ""an erratic comet""; ""his life followed a wandering course""; ""a planetary vagabond"" ",-0.25
3289,a,errhine,,0.0,0.5,0.5,0,323796,causing nasal discharge ,-0.5
3290,a,erring,,0.5,0.0,0.5,0,964470,"capable of making an error; ""all men are error-prone"" ",0.0
3291,a,erroneous,,0.0,0.75,0.25,0,632949,"containing or characterized by error; ""erroneous conclusions"" ",-0.75
3292,a,error-prone,,0.5,0.0,0.5,0,964470,"capable of making an error; ""all men are error-prone"" ",0.0
3293,a,ersatz,,0.0,0.875,0.125,0,1572974,"artificial and inferior; ""ersatz coffee""; ""substitute coffee"" ",-0.875
3294,a,erudite,,0.625,0.0,0.375,0,2084358,"having or showing profound knowledge; ""a learned jurist""; ""an erudite professor"" ",0.0
3295,a,escaped,,0.0,0.25,0.75,0,1062114,"having escaped, especially from confinement; ""a convict still at large""; ""searching for two escaped prisoners""; ""dogs loose on the streets""; ""criminals on the loose in the neighborhood"" ",-0.25
3296,a,especial,,0.25,0.0,0.75,0,488187,"surpassing what is common or usual or expected; ""he paid especial attention to her""; ""exceptional kindness""; ""a matter of particular and unusual importance""; ""a special occasion""; ""a special reason to confide in her""; ""what's so special about the year 2000?"" ",0.0
3297,a,essential,esencial?,0.125,0.0,0.875,4,55539,"defining rights and duties as opposed to giving the rules by which rights and duties are established; ""substantive law"" ",0.0
3299,a,established,,0.25,0.0,0.75,3,1893939,"shown to be valid beyond a reasonable doubt; ""the established facts in the case"" ",0.0
3301,a,esteemed,,0.75,0.0,0.25,0,1982957,"having an illustrious reputation; respected; ""our esteemed leader""; ""a prestigious author"" ",0.0
3302,a,esthetic,,0.625,0.0,0.375,0,69531,"concerning or characterized by an appreciation of beauty or good taste; ""the aesthetic faculties""; ""an aesthetic person""; ""aesthetic feeling""; ""the illustrations made the book an aesthetic success"" ",0.0
3304,a,esthetical,,0.625,0.0,0.375,0,69531,"concerning or characterized by an appreciation of beauty or good taste; ""the aesthetic faculties""; ""an aesthetic person""; ""aesthetic feeling""; ""the illustrations made the book an aesthetic success"" ",0.0
3305,a,estimable,,1.0,0.0,0.0,1,1983162,"deserving of esteem and respect; ""all respectable companies give guarantees""; ""ruined the family's good name"" ",0.0
3307,a,estival,,0.125,0.0,0.875,0,1255022,"(rare) of or occurring in summer; ""the sky was a burnished aestival blue""; ""estival winds"" ",0.0
3308,a,estranged,,0.0,0.625,0.375,0,1463326,caused to be unloved ,-0.625
3309,a,estrous,,0.0,0.25,0.75,0,2137806,"(of lower mammals) showing or in a state of estrus; in heat; ""the estrous state""; ""the estrous cycle"" ",-0.25
3310,a,eternal,,0.125,0.0,0.875,1,1439784,"tiresomely long; seemingly without end; ""endless debates""; ""an endless conversation""; ""the wait seemed eternal""; ""eternal quarreling""; ""an interminable sermon"" ",0.0
3312,a,ethereal,,0.5,0.0,0.5,2,1179345,"of heaven or the spirit; ""celestial peace""; ""ethereal melodies""; ""the supernal happiness of a quiet death"" ",0.0
3313,a,ethical,,0.625,0.0,0.375,1,905386,"conforming to accepted standards of social or professional behavior; ""an ethical lawyer""; ""ethical medical practice""; ""an ethical problem""; ""had no ethical objection to drinking""; ""Ours is a world of nuclear giants and ethical infants""- Omar N. Bradley ",0.0
3314,a,ethnic,,0.0,0.625,0.375,1,1784401,not acknowledging the God of Christianity and Judaism and Islam ,-0.625
3315,a,etiolate,,0.0,0.25,0.75,0,405554,"(especially of plants) developed without chlorophyll by being deprived of light; ""etiolated celery"" ",-0.25
3316,a,etiolated,,0.0,0.25,0.75,0,405554,"(especially of plants) developed without chlorophyll by being deprived of light; ""etiolated celery"" ",-0.25
3317,a,etiologic,etiológico,0.125,0.0,0.875,1,2940953,"relating to the etiology of a disease; ""etiological agent"" ",0.0
3318,a,etiological,etiológico,0.125,0.0,0.875,1,2940953,"relating to the etiology of a disease; ""etiological agent"" ",0.0
3319,a,eucaryotic,,0.5,0.0,0.5,0,2859974,having cells with `good' or membrane-bound nuclei ,0.0
3320,a,eugenic,,0.0,0.25,0.75,0,2715949,pertaining to or causing improvement in the offspring produced ,-0.25
3321,a,eukaryotic,,0.5,0.0,0.5,0,2859974,having cells with `good' or membrane-bound nuclei ,0.0
3322,a,eulogistic,,0.125,0.0,0.875,0,906099,formally expressing praise ,0.0
3323,a,euphemistic,,0.0,0.625,0.375,0,908483," substituting a mild term for a harsher or distasteful one; ""`peepee' is a common euphemistic term"" ",-0.625
3324,a,euphonious,,0.625,0.0,0.375,0,300738,"having a pleasant sound; ""a euphonious trill of silver laughter"" ",0.0
3325,a,euphonous,,0.625,0.0,0.375,0,300738,"having a pleasant sound; ""a euphonious trill of silver laughter"" ",0.0
3326,a,evaluative,,0.5,0.0,0.5,0,649892,"exercising or involving careful evaluations; ""looked him over with an appraising eye""; ""the literary judge uses many evaluative terms"" ",0.0
3327,a,evaporative,,0.0,0.375,0.625,0,2924428,"relating to or causing or being caused by evaporation; ""an evaporative cooler"" ",-0.375
3328,a,evasive,,0.0,0.125,0.875,1,1888284,"avoiding or escaping from difficulty or danger especially enemy fire; ""pilots are taught to take evasive action"" ",-0.125
3329,a,even,,0.125,0.0,0.875,4,2302187,"occurring at fixed intervals; ""a regular beat""; ""the even rhythm of his breathing"" ",0.0
3334,a,even-pinnate,,0.25,0.0,0.75,0,2172617,(of a leaf shape) pinnate with a pair of leaflets at the apex ,0.0
3335,a,even-tempered,,0.5,0.0,0.5,0,1134486,"not easily irritated; ""an equable temper""; ""not everyone shared his placid temperament""; ""remained placid despite the repeated delays"" ",0.0
3336,a,eventful,,0.125,0.0,0.875,1,1277753,"having important issues or results; ""the year's only really consequential legislation""; ""an eventful decision"" ",0.0
3338,a,ever-changing,,0.375,0.0,0.625,0,808822,marked by continuous change or effective action ,0.0
3339,a,everlasting,,0.25,0.0,0.75,0,1755024,"continuing forever or indefinitely; ""the ageless themes of love and revenge""; ""eternal truths""; ""life everlasting""; ""hell's perpetual fires""; ""the unending bliss of heaven"" ",0.0
3341,a,every,,0.125,0.0,0.875,1,2270186,"each and all of a series of entities or intervals as specified; ""every third seat""; ""every two hours"" ",0.0
3342,a,every_last,,0.125,0.0,0.875,0,2270057,"(used as intensive) every; ""every last one of you"" ",0.0
3343,a,everyday,,0.125,0.0,0.875,0,1674242,"found in the ordinary course of events; ""a placid everyday scene""; ""it was a routine day""; ""there's nothing quite like a real...train conductor to add color to a quotidian commute""- Anita Diamant ",0.0
3345,a,evident,,0.5,0.0,0.5,1,1287486,"capable of being seen or noticed; ""a discernible change in attitude""; ""a clearly evident erasure in the manuscript""; ""an observable change in behavior"" ",0.0
3347,a,evil,,0.0,0.5,0.5,1,2514099,having the nature of vice ,-0.5
3349,a,evil-minded,,0.0,0.75,0.25,0,1133784,having evil thoughts or intentions ,-0.75
3350,a,eviscerate,,0.0,0.25,0.75,0,1318659,having been disembowelled ,-0.25
3351,a,evitable,,0.625,0.0,0.375,0,343700,capable of being avoided or warded off ,0.0
3352,a,ex_gratia,,0.0,0.625,0.375,0,847715,"as a favor; not compelled by legal right; ""ex gratia payments made to nonstriking workers"" ",-0.625
3353,a,ex_officio,,0.25,0.0,0.75,0,1632988,"by virtue of an office or position; ""the head of the department serves as an ex officio member of the board"" ",0.0
3354,a,exacerbating,,0.0,0.25,0.75,0,1340422,making worse ,-0.25
3355,a,exact,,0.125,0.0,0.875,1,631798,"(of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth ; strictly correct; ""a precise image""; ""a precise measurement"" ",0.0
3356,a,exacting,,0.0,0.625,0.375,1,711308,"severe and unremitting in making demands; ""an exacting instructor""; ""a stern disciplinarian""; ""strict standards"" ",-0.625
3357,a,exaggerated,,0.125,0.0,0.875,0,1533806,"represented as greater than is true or reasonable; ""an exaggerated opinion of oneself"" ",0.0
3359,a,exalted,,0.625,0.0,0.375,0,1588619,"of high moral or intellectual value; elevated in nature or style; ""an exalted ideal""; ""argue in terms of high-flown ideals""- Oliver Franks; ""a noble and lofty concept""; ""a grand purpose"" ",0.0
3360,a,exalting,,0.625,0.0,0.375,0,1323207,"tending to exalt; ""an exalting eulogy""; ""ennobling thoughts"" ",0.0
3361,a,exanimate,,0.0,0.5,0.5,0,97768,"deprived of life; no longer living; ""a lifeless body"" ",-0.5
3362,a,exasperating,,0.0,0.25,0.75,1,1340422,making worse ,-0.25
3363,a,excellent,,1.0,0.0,0.0,0,2343110,"very good;of the highest quality; ""made an excellent speech""; ""the school has excellent teachers""; ""a first-class mind"" ",0.0
3364,a,exceptionable,,0.0,0.375,0.625,0,18850,"liable to objection or debate; used of something one might take exception to; ""a thoroughly unpleasant highly exceptionable piece of writing""; ""found the politician's views objectionable"" ",-0.375
3365,a,exceptional,,0.25,0.0,0.75,1,488187,"surpassing what is common or usual or expected; ""he paid especial attention to her""; ""exceptional kindness""; ""a matter of particular and unusual importance""; ""a special occasion""; ""a special reason to confide in her""; ""what's so special about the year 2000?"" ",0.0
3367,a,excess,,0.0,0.5,0.5,0,1581305,"more than is needed, desired, or required; ""trying to lose excess weight""; ""found some extra change lying on the dresser""; ""yet another book on heraldry might be thought redundant""; ""skills made redundant by technological advance""; ""sleeping in the spare room""; ""supernumerary ornamentation""; ""it was supererogatory of her to gloat""; ""delete superfluous (or unnecessary) words""; ""extra ribs as well as other supernumerary internal parts""; ""surplus cheese distributed to the needy"" ",-0.5
3368,a,exchangeable,,0.5,0.0,0.5,1,916706,"capable of being exchanged for or replaced by something of equal value; ""convertible securities"" ",0.0
3371,a,excitable,,0.5,0.0,0.5,1,2104277,capable of responding to stimuli ,0.0
3372,a,exciting,,0.25,0.0,0.75,1,2306763,"stimulating interest and discussion; ""an exciting novel"" ",0.0
3374,a,exclusive,,0.0,0.625,0.375,2,539389,"not divided among or brought to bear on more than one object or objective; ""judging a contest with a single eye""; ""a single devotion to duty""; ""undivided affection""; ""gained their exclusive attention"" ",-0.625
3376,a,excogitative,,0.25,0.0,0.75,0,2420390,concerned with excogitating or having the power of excogitation ,0.0
3377,a,excrescent,,0.125,0.0,0.875,0,2723904,forming an outgrowth (usually an excessive outgrowth) ,0.0
3378,a,exculpated,,0.625,0.0,0.375,0,1320184,"freed from any question of guilt; ""is absolved from all blame""; ""was now clear of the charge of cowardice""; ""his official honor is vindicated"" ",0.0
3379,a,excusable,,0.375,0.0,0.625,1,1721197,"easily excused or forgiven; ""a venial error"" ",0.0
3381,a,excusatory,,0.0,0.625,0.375,0,1631830,"offering or expressing apology; ""an apologetic note""; ""an apologetic manner"" ",-0.625
3382,a,ex-directory,,0.0,0.5,0.5,0,1418486,"(of telephone numbers) not listed in the telephone directory; ""an ex-directory number"" (British usage) ",-0.5
3383,a,execrable,,0.0,0.25,0.75,1,1460679,"unequivocally detestable; ""abominable treatment of prisoners""; ""detestable vices""; ""execrable crimes""; ""consequences odious to those you govern""- Edmund Burke ",-0.25
3385,a,executable,,0.375,0.0,0.625,0,1822563,capable of being done with means at hand and circumstances as they are ,0.0
3386,a,exemplary,,0.125,0.0,0.875,1,2469119,"being or serving as an illustration of a type; ""the free discussion that is emblematic of democracy""; ""an action exemplary of his conduct""; ",0.0
3389,a,exempt,,0.0,0.375,0.625,1,2400929,"(of goods or funds) not subject to taxation; ""the funds of nonprofit organizations are nontaxable""; ""income exempt from taxation"" ",-0.375
3391,a,exhausted,,0.125,0.0,0.875,1,926141,"depleted of energy, force, or strength; ""impossible to grow tobacco on the exhausted soil""; ""the exhausted food sources""; ""exhausted oil wells"" ",0.0
3393,a,exhaustible,,0.625,0.0,0.375,0,925460,capable of being used up ,0.0
3395,a,exhausting,,0.25,0.0,0.75,0,1358231,"having a debilitating effect; ""an exhausting job in the hot sun"" ",0.0
3397,a,exhaustive,,0.875,0.0,0.125,0,522463,"performed comprehensively and completely; ""an exhaustive study""; ""made a thorough search""; ""thoroughgoing research"" ",0.0
3398,a,exhibitionistic,,0.25,0.0,0.75,0,2090823,compulsively attracting attention to yourself especially by public exposure or exaggerated behavior ,0.0
3399,a,exhilarating,,0.375,0.0,0.625,1,921538,making lively and joyful ,0.0
3401,a,exhortative,,0.375,0.0,0.625,0,866735,giving strong encouragement ,0.0
3402,a,exhortatory,,0.375,0.0,0.625,0,866735,giving strong encouragement ,0.0
3403,a,existent,,0.125,0.0,0.875,0,927017,"having existence or being or actuality; ""an attempt to refine the existent machinery to make it more efficient""; ""much of the beluga caviar existing in the world is found in the Soviet Union and Iran"" ",0.0
3404,a,existential,existencial,0.0,0.125,0.875,1,2724630,"of or as conceived by existentialism; ""an existential moment of choice"" ",-0.125
3405,a,existing,,0.125,0.0,0.875,1,927017,"having existence or being or actuality; ""an attempt to refine the existent machinery to make it more efficient""; ""much of the beluga caviar existing in the world is found in the Soviet Union and Iran"" ",0.0
3408,a,exonerated,,0.625,0.0,0.375,0,1320184,"freed from any question of guilt; ""is absolved from all blame""; ""was now clear of the charge of cowardice""; ""his official honor is vindicated"" ",0.0
3409,a,exonerative,,0.25,0.0,0.75,0,923495,providing absolution ,0.0
3410,a,exorbitant,,0.0,0.75,0.25,0,1534282,"greatly exceeding bounds of reason or moderation; ""exorbitant rent""; ""extortionate prices""; ""spends an outrageous amount on entertainment""; ""usurious interest rate""; ""unconscionable spending"" ",-0.75
3411,a,exoteric,,0.25,0.0,0.75,0,900478,"suitable for the general public; ""writings of an exoteric nature"" ",0.0
3412,a,exotic,,0.5,0.0,0.5,1,968730,"strikingly strange or unusual; ""an exotic hair style""; ""protons, neutrons, electrons and all their exotic variants""; ""the exotic landscape of a dead planet"" ",0.0
3413,a,expandable,,0.5,0.0,0.5,1,844263,(of gases) capable of expansion ,0.0
3414,a,expandible,,0.5,0.0,0.5,1,844263,(of gases) capable of expansion ,0.0
3415,a,expansible,,0.5,0.0,0.5,1,844263,(of gases) capable of expansion ,0.0
3416,a,expansile,,0.5,0.0,0.5,0,844263,(of gases) capable of expansion ,0.0
3417,a,expansionist,,0.25,0.0,0.75,0,2940292,of or involving or guided by expansionism ,0.0
3418,a,expansive,,0.25,0.0,0.75,1,1284544,"of behavior that is impressive and ambitious in scale or scope; ""an expansive lifestyle""; ""in the grand manner""; ""collecting on a grand scale""; ""heroic undertakings"" ",0.0
3420,a,expectant,,0.625,0.0,0.375,0,1228797,"marked by eager anticipation; ""an expectant hush"" ",0.0
3421,a,expected,,0.0,0.125,0.875,0,929567,"considered likely or probable to happen or arrive; ""prepared for the expected attack"" ",-0.125
3422,a,expedient,,0.0,0.375,0.625,0,931555,"serving to promote your interest; ""was merciful only when mercy was expedient"" ",-0.375
3423,a,expendable,,0.75,0.0,0.25,0,932695,suitable to be expended ,0.0
3424,a,expensive,,0.5,0.0,0.5,0,933154,"high in price or charging high prices; ""expensive clothes""; ""an expensive shop"" ",0.0
3425,a,experienced,,0.5,0.0,0.5,0,935500,having experience; having knowledge or skill from observation or participation ,0.0
3426,a,experient,,0.5,0.0,0.5,0,935500,having experience; having knowledge or skill from observation or participation ,0.0
3427,a,experimental,,0.5,0.0,0.5,2,860127,"of the nature of or undergoing an experiment; ""an experimental drug"" ",0.0
3428,a,expert,,0.625,0.0,0.375,0,2226162,"having or showing knowledge and skill and aptitude; ""adept in handicrafts""; ""an adept juggler""; ""an expert job""; ""a good mechanic""; ""a practiced marksman""; ""a proficient engineer""; ""a lesser-known but no less skillful composer""; ""the effect was achieved by skillful retouching"" ",0.0
3429,a,expiable,,0.625,0.0,0.375,0,1721319,capable of being atoned for ,0.0
3430,a,explainable,,0.625,0.0,0.375,0,938979,"capable of being understood; ""explainable phenomena"" ",0.0
3431,a,explicable,,0.625,0.0,0.375,0,938801,"capable of being explicated or accounted for; ""explicable behavior"" ",0.0
3432,a,explicit,,0.25,0.0,0.75,1,1418989,in accordance with fact or the primary meaning of a term ,0.0
3434,a,exploded,,0.5,0.0,0.5,0,568658,"showing the parts of something separated but in positions that show their correct relation to one another; ""the manufacturer provided an exploded view of the apparatus"" ",0.0
3435,a,exploited,,0.375,0.0,0.625,1,2495687,"of persons; taken advantage of; ""after going out of his way to help his friend get the job he felt not appreciated but used"" ",0.0
3437,a,explosive,,0.0,0.25,0.75,2,1144009,"sudden and loud; ""an explosive laugh"" ",-0.25
3438,a,exportable,,0.75,0.0,0.25,0,876989,"suitable for export; ""exportable cultural achievements"" ",0.0
3439,a,exposed,,0.0,0.75,0.25,0,1886620,"with no protection or shield; ""the exposed northeast frontier""; ""open to the weather""; ""an open wound"" ",-0.75
3440,a,expressed,,0.5,0.0,0.5,1,940437,"precisely and clearly expressed or readily observable; leaving nothing to implication; ""explicit instructions""; ""she made her wishes explicit""; ""explicit sexual scenes"" ",0.0
3441,a,expressible,,0.625,0.0,0.375,0,943363,"capable of being expressed; ""an expressible emotion"" ",0.0
3442,a,exquisite,,0.5,0.0,0.5,1,850552,lavishly elegant and refined ,0.0
3443,a,exsanguine,,0.0,0.5,0.5,0,96239,"destitute of blood or apparently so; ""the bloodless carcass of my Hector sold""- John Dryden ",-0.5
3444,a,exsanguinous,,0.0,0.5,0.5,0,96239,"destitute of blood or apparently so; ""the bloodless carcass of my Hector sold""- John Dryden ",-0.5
3445,a,extant,,0.0,0.625,0.375,0,928525,"still in existence; not extinct or destroyed or lost; ""extant manuscripts""; ""specimens of graphic art found among extant barbaric folk""- Edward Clodd ",-0.625
3446,a,extemporaneous,,0.0,0.5,0.5,0,1845451,"with little or no preparation or forethought; ""his ad-lib comments showed poor judgment""; ""an extemporaneous piano recital""; ""an extemporary lecture""; ""an extempore skit""; ""an impromptu speech""; ""offhand excuses""; ""trying to sound offhanded and reassuring""; ""an off-the-cuff toast""; ""a few unrehearsed comments"" ",-0.5
3447,a,extemporary,,0.0,0.5,0.5,0,1845451,"with little or no preparation or forethought; ""his ad-lib comments showed poor judgment""; ""an extemporaneous piano recital""; ""an extemporary lecture""; ""an extempore skit""; ""an impromptu speech""; ""offhand excuses""; ""trying to sound offhanded and reassuring""; ""an off-the-cuff toast""; ""a few unrehearsed comments"" ",-0.5
3448,a,extempore,,0.0,0.5,0.5,0,1845451,"with little or no preparation or forethought; ""his ad-lib comments showed poor judgment""; ""an extemporaneous piano recital""; ""an extemporary lecture""; ""an extempore skit""; ""an impromptu speech""; ""offhand excuses""; ""trying to sound offhanded and reassuring""; ""an off-the-cuff toast""; ""a few unrehearsed comments"" ",-0.5
3449,a,extendable,,0.625,0.0,0.375,0,1434530,capable of being lengthened ,0.0
3450,a,extendible,,0.625,0.0,0.375,0,1434530,capable of being lengthened ,0.0
3451,a,extensible,,0.5,0.0,0.5,0,944449,"capable of being protruded or stretched or opened out; ""an extensile tongue""; ""an extensible measuring rule"" ",0.0
3452,a,extensile,,0.5,0.0,0.5,0,944449,"capable of being protruded or stretched or opened out; ""an extensile tongue""; ""an extensible measuring rule"" ",0.0
